frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
774,12.9,,,,,960,540
775,12.917,,,,,960,540
776,12.933,655.0,280.0,10.0,10.0,960,540
777,12.95,655.0,280.0,10.0,10.0,960,540
778,12.967,655.0,280.0,10.0,10.0,960,540
779,12.983,655.0,280.0,10.0,10.0,960,540
780,13.0,655.0,280.0,10.0,10.0,960,540
781,13.017,655.0,280.0,10.0,10.0,960,540
782,13.033,655.0,280.0,10.0,10.0,960,540
783,13.05,656.0,280.0,10.0,10.0,960,540
784,13.067,656.0,280.0,10.0,10.0,960,540
785,13.083,655.0,280.0,10.0,10.0,960,540
786,13.1,656.0,280.0,10.0,10.0,960,540
787,13.117,665.0,279.0,10.0,10.0,960,540
788,13.133,673.0,279.0,10.0,10.0,960,540
789,13.15,687.0,277.0,10.0,10.0,960,540
790,13.167,,,,,960,540
791,13.183,720.0,266.0,10.0,10.0,960,540
792,13.2,734.0,260.0,10.0,10.0,960,540
793,13.217,749.0,254.0,10.0,10.0,960,540
794,13.233,758.0,248.0,10.0,10.0,960,540
795,13.25,765.0,243.0,10.0,10.0,960,540
796,13.267,773.0,236.0,10.0,10.0,960,540
797,13.283,776.0,232.0,10.0,10.0,960,540
798,13.3,780.0,226.0,10.0,10.0,960,540
799,13.317,782.0,221.0,10.0,10.0,960,540
800,13.333,784.0,215.0,10.0,10.0,960,540
801,13.35,786.0,210.0,10.0,10.0,960,540
802,13.367,787.0,206.0,10.0,10.0,960,540
803,13.383,788.0,203.0,10.0,10.0,960,540
804,13.4,788.0,200.0,10.0,10.0,960,540
805,13.417,789.0,197.0,10.0,10.0,960,540
806,13.433,790.0,196.0,10.0,10.0,960,540
807,13.45,790.0,194.0,10.0,10.0,960,540
808,13.467,790.0,193.0,10.0,10.0,960,540
809,13.483,791.0,193.0,10.0,10.0,960,540
810,13.5,791.0,193.0,10.0,10.0,960,540
811,13.517,791.0,193.0,10.0,10.0,960,540
812,13.533,791.0,192.0,10.0,10.0,960,540
813,13.55,791.0,192.0,10.0,10.0,960,540
814,13.567,790.0,192.0,10.0,10.0,960,540
815,13.583,791.0,191.0,10.0,10.0,960,540
816,13.6,791.0,191.0,10.0,10.0,960,540
817,13.617,791.0,192.0,10.0,10.0,960,540
818,13.633,793.0,192.0,10.0,10.0,960,540
819,13.65,797.0,193.0,10.0,10.0,960,540
820,13.667,805.0,194.0,10.0,10.0,960,540
821,13.683,,,,,960,540
822,13.7,842.0,198.0,10.0,10.0,960,540
823,13.717,856.0,199.0,10.0,10.0,960,540
824,13.733,870.0,198.0,10.0,10.0,960,540
825,13.75,887.0,197.0,10.0,10.0,960,540
826,13.767,900.0,197.0,10.0,10.0,960,540
827,13.783,913.0,196.0,10.0,10.0,960,540
828,13.8,922.0,195.0,10.0,10.0,960,540
829,13.817,927.0,193.0,9.0,9.0,960,540
830,13.833,932.0,192.0,9.0,9.0,960,540
831,13.85,934.0,191.0,9.0,9.0,960,540
832,13.867,937.0,189.0,9.0,9.0,960,540
833,13.883,941.0,188.0,9.0,9.0,960,540
834,13.9,947.0,186.0,9.0,9.0,960,540
835,13.917,952.0,185.0,9.0,9.0,960,540
836,13.933,959.0,181.0,9.0,9.0,960,540
837,13.95,961.0,180.0,9.0,9.0,960,540
838,13.967,965.0,180.0,10.0,10.0,960,540
839,13.983,966.0,178.0,10.0,10.0,960,540
840,14.0,967.0,177.0,10.0,10.0,960,540
841,14.017,967.0,176.0,10.0,10.0,960,540
842,14.033,968.0,175.0,10.0,10.0,960,540
843,14.05,968.0,176.0,10.0,10.0,960,540
844,14.067,969.0,175.0,10.0,10.0,960,540
845,14.083,970.0,174.0,10.0,10.0,960,540
846,14.1,972.0,174.0,10.0,10.0,960,540
847,14.117,972.0,174.0,10.0,10.0,960,540
848,14.133,972.0,174.0,10.0,10.0,960,540
849,14.15,972.0,174.0,10.0,10.0,960,540
850,14.167,970.0,177.0,10.0,10.0,960,540
851,14.183,960.0,187.0,10.0,10.0,960,540
852,14.2,951.0,194.0,10.0,10.0,960,540
853,14.217,,,,,960,540
854,14.233,917.0,233.0,10.0,9.0,960,540
855,14.25,909.0,242.0,10.0,9.0,960,540
856,14.267,,,,,960,540
857,14.283,1064.0,266.0,9.0,10.0,960,540
858,14.3,1057.0,274.0,9.0,10.0,960,540
859,14.317,1049.0,285.0,9.0,10.0,960,540
860,14.333,1043.0,297.0,9.0,10.0,960,540
861,14.35,1040.0,302.0,9.0,10.0,960,540
862,14.367,1038.0,308.0,9.0,10.0,960,540
863,14.383,1034.0,313.0,9.0,10.0,960,540
864,14.4,1033.0,315.0,8.0,9.0,960,540
865,14.417,1031.0,320.0,9.0,10.0,960,540
866,14.433,1030.0,324.0,9.0,10.0,960,540
867,14.45,1028.0,327.0,8.0,9.0,960,540
868,14.467,1027.0,330.0,9.0,10.0,960,540
869,14.483,1027.0,334.0,9.0,10.0,960,540
870,14.5,1025.0,339.0,9.0,10.0,960,540
871,14.517,1024.0,343.0,9.0,10.0,960,540
872,14.533,1022.0,344.0,9.0,10.0,960,540
873,14.55,1022.0,344.0,9.0,10.0,960,540
874,14.567,1022.0,345.0,9.0,10.0,960,540
875,14.583,1023.0,345.0,9.0,10.0,960,540
876,14.6,1022.0,345.0,9.0,10.0,960,540
877,14.617,1022.0,346.0,9.0,10.0,960,540
878,14.633,1022.0,345.0,9.0,10.0,960,540
879,14.65,1023.0,346.0,9.0,10.0,960,540
880,14.667,1026.0,349.0,9.0,10.0,960,540
881,14.683,1029.0,352.0,9.0,10.0,960,540
882,14.7,1034.0,358.0,9.0,10.0,960,540
883,14.717,1043.0,367.0,9.0,10.0,960,540
884,14.733,1049.0,374.0,9.0,10.0,960,540
885,14.75,1055.0,380.0,9.0,10.0,960,540
886,14.767,1064.0,390.0,9.0,10.0,960,540
887,14.783,1069.0,394.0,9.0,10.0,960,540
888,14.8,1074.0,398.0,9.0,10.0,960,540
889,14.817,1082.0,403.0,9.0,10.0,960,540
890,14.833,1084.0,405.0,9.0,10.0,960,540
891,14.85,1086.0,407.0,9.0,10.0,960,540
892,14.867,1089.0,410.0,9.0,10.0,960,540
893,14.883,1089.0,411.0,9.0,10.0,960,540
894,14.9,1089.0,412.0,9.0,10.0,960,540
895,14.917,1089.0,415.0,9.0,10.0,960,540
896,14.933,1090.0,416.0,9.0,10.0,960,540
897,14.95,1091.0,418.0,9.0,10.0,960,540
898,14.967,1091.0,420.0,9.0,10.0,960,540
899,14.983,1091.0,421.0,9.0,10.0,960,540
900,15.0,1091.0,421.0,9.0,10.0,960,540
901,15.017,1092.0,422.0,9.0,10.0,960,540
902,15.033,1091.0,421.0,9.0,10.0,960,540
903,15.05,1092.0,421.0,9.0,10.0,960,540
904,15.067,1091.0,422.0,9.0,10.0,960,540
905,15.083,1092.0,425.0,9.0,10.0,960,540
906,15.1,1094.0,429.0,9.0,10.0,960,540
907,15.117,1096.0,433.0,9.0,10.0,960,540
908,15.133,1099.0,443.0,9.0,10.0,960,540
909,15.15,1104.0,450.0,9.0,10.0,960,540
910,15.167,1110.0,459.0,9.0,10.0,960,540
911,15.183,1116.0,470.0,9.0,10.0,960,540
912,15.2,1119.0,478.0,9.0,10.0,960,540
913,15.217,1123.0,484.0,9.0,10.0,960,540
914,15.233,1127.0,493.0,9.0,10.0,960,540
915,15.25,1127.0,496.0,9.0,10.0,960,540
916,15.267,1129.0,500.0,9.0,10.0,960,540
917,15.283,1129.0,502.0,9.0,10.0,960,540
918,15.3,1129.0,503.0,9.0,10.0,960,540
919,15.317,1129.0,504.0,9.0,10.0,960,540
920,15.333,1129.0,505.0,9.0,10.0,960,540
921,15.35,1130.0,507.0,9.0,10.0,960,540
922,15.367,1130.0,508.0,9.0,10.0,960,540
923,15.383,1131.0,510.0,9.0,10.0,960,540
924,15.4,1132.0,513.0,9.0,10.0,960,540
925,15.417,1133.0,515.0,9.0,10.0,960,540
926,15.433,1134.0,516.0,9.0,10.0,960,540
927,15.45,1134.0,516.0,9.0,10.0,960,540
928,15.467,1134.0,517.0,9.0,10.0,960,540
929,15.483,1135.0,518.0,9.0,10.0,960,540
930,15.5,1134.0,519.0,9.0,10.0,960,540
931,15.517,1135.0,520.0,9.0,10.0,960,540
932,15.533,1135.0,521.0,9.0,10.0,960,540
933,15.55,1135.0,521.0,9.0,10.0,960,540
934,15.567,1136.0,521.0,9.0,10.0,960,540
935,15.583,1136.0,520.0,9.0,10.0,960,540
936,15.6,1139.0,519.0,9.0,10.0,960,540
937,15.617,1141.0,518.0,9.0,10.0,960,540
938,15.633,1145.0,517.0,9.0,10.0,960,540
939,15.65,1151.0,514.0,9.0,10.0,960,540
940,15.667,1158.0,512.0,9.0,10.0,960,540
941,15.683,1161.0,510.0,9.0,10.0,960,540
942,15.7,1168.0,508.0,9.0,10.0,960,540
943,15.717,1171.0,508.0,9.0,10.0,960,540
944,15.733,1174.0,508.0,9.0,10.0,960,540
945,15.75,1178.0,507.0,9.0,10.0,960,540
946,15.767,1180.0,506.0,9.0,10.0,960,540
947,15.783,1181.0,505.0,9.0,10.0,960,540
948,15.8,1183.0,504.0,9.0,10.0,960,540
949,15.817,1183.0,505.0,9.0,10.0,960,540
950,15.833,1182.0,505.0,9.0,10.0,960,540
951,15.85,1182.0,505.0,9.0,10.0,960,540
952,15.867,1183.0,505.0,9.0,10.0,960,540
953,15.883,1182.0,504.0,9.0,10.0,960,540
954,15.9,1183.0,505.0,9.0,10.0,960,540
955,15.917,1183.0,505.0,9.0,10.0,960,540
956,15.933,1184.0,505.0,9.0,10.0,960,540
957,15.95,1185.0,505.0,9.0,10.0,960,540
958,15.967,1190.0,504.0,9.0,10.0,960,540
959,15.983,1194.0,504.0,9.0,10.0,960,540
960,16.0,1198.0,503.0,9.0,10.0,960,540
961,16.017,1203.0,503.0,9.0,10.0,960,540
962,16.033,1207.0,502.0,9.0,10.0,960,540
963,16.05,1210.0,502.0,9.0,10.0,960,540
964,16.067,1212.0,502.0,9.0,10.0,960,540
965,16.083,1214.0,502.0,9.0,10.0,960,540
966,16.1,1214.0,501.0,9.0,10.0,960,540
967,16.117,1215.0,501.0,9.0,10.0,960,540
968,16.133,1216.0,501.0,9.0,10.0,960,540
969,16.15,1216.0,501.0,9.0,10.0,960,540
970,16.167,1218.0,499.0,9.0,10.0,960,540
971,16.183,1218.0,499.0,9.0,10.0,960,540
972,16.2,1219.0,498.0,9.0,10.0,960,540
973,16.217,1219.0,498.0,9.0,10.0,960,540
974,16.233,1219.0,499.0,9.0,10.0,960,540
975,16.25,1219.0,498.0,9.0,10.0,960,540
976,16.267,1219.0,498.0,9.0,10.0,960,540
977,16.283,1221.0,497.0,9.0,10.0,960,540
978,16.3,1222.0,497.0,9.0,10.0,960,540
979,16.317,1224.0,496.0,9.0,10.0,960,540
980,16.333,1228.0,495.0,9.0,10.0,960,540
981,16.35,1230.0,494.0,9.0,10.0,960,540
982,16.367,1234.0,493.0,9.0,10.0,960,540
983,16.383,1237.0,493.0,9.0,10.0,960,540
984,16.4,1239.0,492.0,9.0,10.0,960,540
985,16.417,1241.0,492.0,9.0,10.0,960,540
986,16.433,1242.0,491.0,9.0,10.0,960,540
987,16.45,1242.0,491.0,9.0,10.0,960,540
988,16.467,1242.0,490.0,9.0,10.0,960,540
989,16.483,1243.0,490.0,9.0,10.0,960,540
990,16.5,1243.0,491.0,9.0,10.0,960,540
991,16.517,1243.0,491.0,9.0,10.0,960,540
992,16.533,1244.0,490.0,9.0,10.0,960,540
993,16.55,1244.0,490.0,9.0,10.0,960,540
994,16.567,1243.0,491.0,9.0,10.0,960,540
995,16.583,1242.0,491.0,9.0,10.0,960,540
996,16.6,1239.0,491.0,9.0,10.0,960,540
997,16.617,1228.0,493.0,9.0,10.0,960,540
998,16.633,1216.0,496.0,9.0,10.0,960,540
999,16.65,,,,,960,540
1000,16.667,1039.0,819.0,11.0,10.0,960,540
1001,16.683,1029.0,820.0,11.0,10.0,960,540
1002,16.7,1017.0,821.0,11.0,10.0,960,540
1003,16.717,,,,,960,540
1004,16.733,1131.0,509.0,9.0,9.0,960,540
1005,16.75,1125.0,509.0,9.0,9.0,960,540
1006,16.767,1120.0,509.0,9.0,9.0,960,540
1007,16.783,1120.0,510.0,9.0,9.0,960,540
1008,16.8,1119.0,510.0,9.0,9.0,960,540
1009,16.817,1119.0,509.0,9.0,9.0,960,540
1010,16.833,1118.0,510.0,9.0,9.0,960,540
1011,16.85,1116.0,510.0,9.0,9.0,960,540
1012,16.867,1112.0,512.0,9.0,9.0,960,540
1013,16.883,1112.0,511.0,9.0,9.0,960,540
1014,16.9,1111.0,512.0,9.0,9.0,960,540
1015,16.917,1112.0,512.0,9.0,9.0,960,540
1016,16.933,1112.0,512.0,9.0,9.0,960,540
1017,16.95,1113.0,512.0,9.0,9.0,960,540
1018,16.967,1112.0,513.0,9.0,9.0,960,540
1019,16.983,1112.0,511.0,9.0,9.0,960,540
1020,17.0,1105.0,512.0,9.0,9.0,960,540
1021,17.017,1096.0,510.0,9.0,9.0,960,540
1022,17.033,,,,,960,540
1023,17.05,1025.0,558.0,10.0,9.0,960,540
1024,17.067,1011.0,555.0,10.0,9.0,960,540
