start_frame,end_frame,peak_frame,duration_s,peak_speed,peak_position_pct,accel_decel_ratio,decel_smoothness,endpoint_speed,overshoot,is_two_stage
11,26,14,0.2667,1033.91,20.0,0.265,3464.845,290.34,,False
44,61,46,0.3,1000.99,11.8,0.191,4491.36,306.12,,False
75,88,78,0.2333,1356.5,23.1,0.318,5528.845,284.14,,False
105,114,110,0.1667,654.98,55.6,1.355,1546.377,368.77,,False
131,139,135,0.15,679.32,50.0,0.966,2479.356,396.45,,False
221,229,224,0.15,1107.51,37.5,0.649,4803.325,433.84,,False
245,253,247,0.15,1109.11,25.0,0.354,5644.921,334.61,,False
267,272,269,0.1,552.18,40.0,0.641,3456.418,340.31,,False
288,306,293,0.3167,2494.33,27.8,0.496,7142.945,278.36,,False
321,343,323,0.3833,1181.22,9.1,0.214,4687.537,3.35,,False
384,394,387,0.1833,1140.03,30.0,0.448,3348.094,358.84,,False
411,418,413,0.1333,578.2,28.6,0.483,1308.685,277.06,,False
433,454,437,0.3667,1060.14,19.0,0.573,5121.671,83.31,,False
487,493,490,0.1167,542.41,50.0,0.95,2920.721,325.41,,False
508,522,513,0.25,1340.37,35.7,0.68,2585.934,295.96,,False
540,552,545,0.2167,2459.89,41.7,0.675,8343.747,434.85,,False
571,583,575,0.2167,1403.23,33.3,0.573,3427.573,295.32,,False
601,611,604,0.1833,809.08,30.0,0.548,2404.623,289.33,,False
629,640,633,0.2,1684.05,36.4,0.592,5181.674,396.42,,False
659,671,663,0.2167,1450.91,33.3,0.502,3377.613,363.68,,False
691,700,694,0.1667,796.93,33.3,0.59,991.121,323.52,,False
721,728,723,0.1333,891.56,28.6,0.411,5600.896,280.66,,False
745,759,750,0.25,2573.35,35.7,0.713,6509.548,302.84,,False
778,785,781,0.1333,635.5,42.9,0.898,1616.236,346.36,,False
802,810,805,0.15,897.23,37.5,0.686,2404.797,284.43,,False
824,834,827,0.1833,944.93,30.0,0.499,2675.895,301.23,,False
850,862,854,0.2167,2207.51,33.3,0.46,8297.491,373.27,,False
910,918,913,0.15,945.49,37.5,0.605,4103.735,426.75,,False
935,958,940,0.4,2946.23,21.7,0.543,8683.095,280.07,,False
976,985,979,0.1667,1049.21,33.3,0.599,4129.746,289.37,,False
1003,1020,1009,0.3,2728.8,35.3,0.796,6517.249,320.84,,False
1037,1049,1042,0.2167,1917.01,41.7,0.764,6948.82,346.24,,False
1075,1086,1081,0.2,2139.71,54.5,1.345,4895.649,456.94,,False
1105,1114,1109,0.1667,1006.31,44.4,0.77,5896.496,353.21,,False
1131,1147,1135,0.2833,2041.66,25.0,0.402,7906.648,302.26,,False
1163,1167,1166,0.0833,425.21,75.0,2.84,2555.637,354.68,,False
