frame,time_s,pan_dx,pan_dy,n_targets,ball_x,ball_y
0,0.0,0.0,0.0,0,960.0,540.0
1,0.016666666666666666,0.0,0.0,0,960.0,540.0
2,0.03333333333333333,0.0,0.0,0,960.0,540.0
3,0.05,0.0,0.0,0,960.0,540.0
4,0.06666666666666667,0.0,0.0,0,960.0,540.0
5,0.08333333333333333,0.0,0.0,0,960.0,540.0
6,0.1,0.0,0.0,0,960.0,540.0
7,0.11666666666666667,0.0,0.0,0,960.0,540.0
8,0.13333333333333333,0.0,0.0,0,960.0,540.0
9,0.15,0.0,0.0,0,960.0,540.0
10,0.16666666666666666,0.0,0.0,0,960.0,540.0
11,0.18333333333333332,0.0,0.0,0,960.0,540.0
12,0.2,0.0,0.0,0,960.0,540.0
13,0.21666666666666667,0.0,0.0,0,960.0,540.0
14,0.23333333333333334,0.0,0.0,0,960.0,540.0
15,0.25,0.0,0.0,0,960.0,540.0
16,0.26666666666666666,0.0,0.0,0,960.0,540.0
17,0.2833333333333333,0.0,0.0,0,960.0,540.0
18,0.3,0.0,0.0,0,960.0,540.0
19,0.31666666666666665,0.0,0.0,0,960.0,540.0
20,0.3333333333333333,0.0,0.0,0,960.0,540.0
21,0.35,0.0,0.0,0,960.0,540.0
22,0.36666666666666664,0.0,0.0,0,960.0,540.0
23,0.38333333333333336,0.0,0.0,0,960.0,540.0
24,0.4,0.0,0.0,0,960.0,540.0
25,0.4166666666666667,0.0,0.0,0,960.0,540.0
26,0.43333333333333335,0.0,0.0,0,960.0,540.0
27,0.45,0.0,0.0,0,960.0,540.0
28,0.4666666666666667,0.0,0.0,0,960.0,540.0
29,0.48333333333333334,0.0,0.0,0,960.0,540.0
30,0.5,0.0,0.0,0,960.0,540.0
31,0.5166666666666667,0.0,0.0,0,960.0,540.0
32,0.5333333333333333,0.0,0.0,0,960.0,540.0
33,0.55,0.0,0.0,0,960.0,540.0
34,0.5666666666666667,0.0,0.0,0,960.0,540.0
35,0.5833333333333334,0.0,0.0,0,960.0,540.0
36,0.6,0.0,0.0,0,960.0,540.0
37,0.6166666666666667,0.0,0.0,0,960.0,540.0
38,0.6333333333333333,0.0,0.0,0,960.0,540.0
39,0.65,0.0,0.0,0,960.0,540.0
40,0.6666666666666666,0.0,0.0,5,960.0,540.0
41,0.6833333333333333,0.0,0.0,5,960.0,540.0
42,0.7,0.0,0.0,5,960.0,540.0
43,0.7166666666666667,0.0,0.0,5,960.0,540.0
44,0.7333333333333333,0.0,0.0,5,960.0,540.0
45,0.75,0.0,0.0,5,960.0,540.0
46,0.7666666666666667,0.0,0.0,5,960.0,540.0
47,0.7833333333333333,-0.2836879432624073,-0.033763996554739606,5,959.7163120567376,539.9662360034453
48,0.8,-0.4760019792181538,0.0,5,959.2403100775194,539.9662360034453
49,0.8166666666666667,-0.534476843910852,0.4397163120567029,5,958.7058332336086,540.405952315502
50,0.8333333333333334,-0.2403100775194389,0.2403100775193252,5,958.4655231560891,540.6462623930213
51,0.85,0.4760019792181538,0.24183006535949403,5,958.9415251353073,540.8880924583808
52,0.8666666666666667,2.763888888888914,0.4878306878308649,5,961.7054140241962,541.3759231462117
53,0.8833333333333333,4.5166666666666515,1.1284842487217475,5,966.2220806908629,542.5044073949334
54,0.9,4.245370370370438,0.22685185185190448,5,970.4674510612333,542.7312592467854
55,0.9166666666666666,0.6419753086418041,0.2403100775194389,5,971.1094263698751,542.9715693243048
56,0.9333333333333333,0.0,0.0,5,971.1094263698751,542.9715693243048
57,0.95,-0.4806201550386504,1.4833333333333485,5,970.6288062148365,544.4549026576382
58,0.9666666666666667,0.0,1.7384751773050766,5,970.6288062148365,546.1933778349432
59,0.9833333333333333,0.0,2.0,5,970.6288062148365,548.1933778349432
60,1.0,0.0,2.0,5,970.6288062148365,550.1933778349432
61,1.0166666666666666,-0.47642118863041105,1.9321727917472629,5,970.152385026206,552.1255506266905
62,1.0333333333333334,-0.2836879432624073,1.7596899224806748,5,969.8686970829436,553.8852405491712
63,1.05,0.011579099724940534,0.40225366876308044,5,969.8802761826686,554.2874942179342
64,1.0666666666666667,-0.24640967498112332,1.0628930817610183,5,969.6338665076875,555.3503872996952
65,1.0833333333333333,-0.2403100775194389,0.2615248226949234,5,969.393556430168,555.6119121223901
66,1.1,0.2403100775194389,1.2430232558139664,5,969.6338665076875,556.8549353782041
67,1.1166666666666667,0.5185185185185901,1.1153846153846416,5,970.152385026206,557.9703199935888
68,1.1333333333333333,0.6601307189544059,0.7163120567375927,5,970.8125157451605,558.6866320503264
69,1.15,0.0,0.0,5,970.8125157451605,558.6866320503264
70,1.1666666666666667,0.0,0.0,5,970.8125157451605,558.6866320503264
71,1.1833333333333333,0.27927927927930796,-0.056181337783414165,6,971.0917950244398,558.6304507125429
72,1.2,0.14761208576999252,-0.2397746818025439,6,971.2394071102098,558.3906760307405
73,1.2166666666666666,2.2129010844267896,-1.192997766482506,6,973.4523081946365,557.197678264258
74,1.2333333333333334,5.632893926966858,-3.9453295948100617,6,979.0852021216034,553.2523486694479
75,1.25,13.882663514578383,-9.60567692428151,6,992.9678656361818,543.6466717451664
76,1.2666666666666666,28.248148148148175,-19.85296296296292,6,1021.21601378433,523.7937087822035
77,1.2833333333333334,29.33496985357442,-20.39558570198102,6,1050.5509836379044,503.39812308022243
78,1.3,43.75968992248079,-28.966666666666697,5,1094.310673560385,474.43145641355574
79,1.3166666666666667,32.0,-22.51666666666665,5,1126.310673560385,451.9147897468891
80,1.3333333333333333,29.720720720720692,-21.0,5,1156.0313942811058,430.9147897468891
81,1.35,31.668211068211008,-24.360360360360346,4,1187.6996053493167,406.55442938652874
82,1.3666666666666667,18.89722222222224,-15.0,4,1206.596827571539,391.55442938652874
83,1.3833333333333333,14.15637099865836,-12.279279279279308,4,1220.7531985701974,379.27515010724943
84,1.4,12.036410617806041,-12.122265122265134,4,1232.7896091880034,367.1528849849843
85,1.4166666666666667,4.722827054741913,-6.562161431948624,2,1237.5124362427453,360.5907235530357
86,1.4333333333333333,1.9749475055326684,-5.129740112452879,2,1239.4873837482778,355.4609834405828
87,1.45,0.01923224244649191,-5.299390972605266,2,1239.5066159907242,350.1615924679776
88,1.4666666666666666,-0.25846450644291963,-3.026509220040225,2,1239.2481514842812,347.13508324793736
89,1.4833333333333334,-0.14271218044802936,-3.167320528075237,2,1239.105439303833,343.9677627198621
90,1.5,0.0,-4.0,2,1239.105439303833,339.9677627198621
